latitude,longitude
13.0066506,77.6865747
13.0714693,77.5881627
13.0722283,77.5911667
12.9920238,77.5944671
12.9700013,77.638163
12.9638903,77.7178859
12.9335194,77.6910033
12.9731182,77.6224122
12.9964088,77.6688022
12.9398115,77.6956296
12.9813194,77.6090667
13.0390849,77.5181605
12.9286794,77.5850008
12.9645045,77.576406
12.9786948,77.573803
12.9341821,77.6907306
13.032523,77.554138
12.970355,77.6099752
12.9646266,77.5762554
12.9882877,77.5583752
12.8918517,77.6383632
12.9892513,77.5990911
13.0064755,77.5790174
12.9962602,77.6682888
12.9834581,77.6092056
13.0721714,77.5887
12.981087,77.6075054
13.0562559,77.4764447
12.9735765,77.5793242
12.9740221,77.5784776
13.0076701,77.5711423
12.9735417,77.6151583
12.9810014,77.6103204
12.9905635,77.5571164
13.1835083,77.6810167
12.9646519,77.576182
12.9728686,77.5787792
13.0118687,77.5520092
12.9295088,77.5807108
12.96507,77.5841233
12.9688222,77.6483418
12.9704923,77.6449988
12.97511238424641,77.69753862114689
12.9979473,77.569372
13.0055524,77.5688117
12.9642683,77.57934
13.0123465,77.5543535
12.9772095,77.5707519
12.9688996,77.5362916
12.9651598,77.7182662
12.9771188,77.5757768
12.9504267,77.6893383
12.9630396,77.7173144
12.9712039,77.5969442
12.9919821,77.5902328
12.9810981,77.6100165
12.9743983,77.5458083
13.1173797,77.577872
12.969672,77.5756055
12.9319837,77.6915705
12.9800433,77.6096436
13.184627,77.6798494
12.9355159,77.6900957
12.9760528,77.578263
12.9347184,77.6160807
13.1204425,77.6321023
13.0088234,77.5543004
12.9825879,77.6143843
12.9815639,77.6042725
12.9316698,77.6833214
12.9983293,77.5536102
12.9661229,77.6416395
12.9647821,77.538958
12.9648137,77.5758914
13.0082214,77.6956034
12.9673764,77.7160312
12.98104,77.6102189
12.9249882,77.6947427
13.0127084,77.5544888
12.9841879,77.5492686
12.994689174410729,77.55460232096054
12.9682419,77.7018
12.9360409,77.6155315
12.977725,77.5742567
12.9649833,77.538298
12.9111438,77.4802102
12.9065936,77.6304743
12.9983757,77.5529319
13.0451177,77.5072678
12.9299433,77.56748
12.9778063,77.5740537
12.9840128,77.6034954
12.9829981,77.6110491
13.0710204,77.5876327
12.9822666,77.6065801
12.9801238,77.6074454
